fuzzyInput,left,centre, right,fuzzyOutput,fuzzyInterval
-0.14,266.7,114.67,10.86,-0.4,0.013495922
-0.14,266.7,114.67,10.86,-0.4,0.013506413
-0.14,266.7,114.67,10.86,-0.4,0.013271332
-0.14,266.7,114.67,10.86,-0.4,0.01324749
-0.14,266.7,114.67,10.86,-0.4,0.014941692
-0.14,133.13,114.67,10.86,-0.4,0.165361404
-0.14,133.13,183.48,10.7,-0.4,0.152377129
-0.14,133.13,183.48,10.7,-0.4,0.014755726
-0.14,133.13,183.48,10.7,-0.4,0.013437748
-0.14,133.13,183.48,10.7,-0.4,0.015351534
-0.14,133.13,183.48,10.7,-0.4,0.013543844
-0.14,133.13,183.48,10.7,-0.4,0.013625145
-0.14,106.78,183.48,10.7,-0.4,0.163778067
-0.29,106.78,164.41,10.65,-0.4,0.145680428
-0.14,106.78,164.41,10.65,-0.4,0.170008659
-0.14,106.78,164.41,10.65,-0.4,0.013791084
-0.14,106.78,164.41,10.65,-0.4,0.013650656
-0.14,106.78,164.41,10.65,-0.4,0.013870001
-0.14,107.64,164.41,10.65,-0.4,0.166713953
-0.14,107.64,107.47,10.6,-0.4,0.157113791
-0.14,107.64,107.47,10.6,-0.4,0.013402939
-0.14,107.64,107.47,10.6,-0.4,0.013528109
-0.14,107.64,107.47,10.6,-0.4,0.013387918
-0.14,107.64,107.47,10.6,-0.4,0.016705036
-0.14,107.64,107.47,10.6,-0.4,0.013579369
-0.14,267.29,107.47,10.6,-0.4,0.173631907
-0.14,267.29,121.13,10.61,-0.4,0.149358273
-0.14,267.29,121.13,10.61,-0.4,0.016393185
-0.14,267.29,121.13,10.61,-0.4,0.013363123
-0.14,267.29,121.13,10.61,-0.4,0.013393879
-0.14,267.29,121.13,10.61,-0.4,0.013458729
-0.14,267.29,121.13,10.61,-0.4,0.013399839
-0.14,400,121.13,10.61,-0.4,0.151362658
-0.14,400,177.64,11.1,-0.4,0.149694204
-0.14,400,177.64,11.1,-0.4,0.016010284
-0.14,400,177.64,11.1,-0.4,0.013642073
-0.14,400,177.64,11.1,-0.4,0.014975071
-0.14,400,177.64,11.1,-0.4,0.01375699
-0.14,400,177.64,11.1,-0.4,0.013409376
-0.14,332.6,177.64,11.1,-0.4,0.168479919
-0.14,332.6,188.57,11.1,-0.4,0.195206165
-0.29,332.6,188.57,11.1,-0.4,0.156886816
-0.29,332.6,188.57,11.1,-0.4,0.013344288
-0.29,332.6,188.57,11.1,-0.4,0.013716221
-0.29,332.6,188.57,11.1,-0.4,0.013234615
-0.14,199.95,188.57,11.1,-0.4,0.170003891
-0.29,199.95,137.5,10.68,-0.4,0.153253078
-0.14,199.95,137.5,10.68,-0.4,0.179915667
-0.29,199.95,137.5,10.68,-0.4,0.030917883
-0.14,199.95,137.5,10.68,-0.4,0.013785601
-0.14,267.35,137.5,10.68,-0.4,0.165430546
-0.29,267.35,126.44,10.87,-0.4,0.150187731
-0.29,267.35,126.44,10.87,-0.4,0.013711691
-0.29,267.35,126.44,10.87,-0.4,0.013450861
-0.29,267.35,126.44,10.87,-0.4,0.013412476
-0.29,267.35,126.44,10.87,-0.4,0.014320612
-0.29,267.35,126.44,10.87,-0.4,0.013333797
-0.29,400,126.44,10.87,-0.4,0.173437357
-0.29,400,115.21,10.82,-0.4,0.164187193
-0.29,400,115.21,10.82,-0.4,0.01336813
-0.29,400,115.21,10.82,-0.4,0.018542051
